เบอร์,ราคาเบอร์,แพ็กเกจ,เครือข่าย,สถานะ
0644624935,,-,true,active
0644624936,45900,-,true,active
0644624956,,-,true,active
0644624965,48000,-,true,active
0644626356,,-,true,active
0644626359,34400,-,true,active
0644626395,25000,-,true,active
0644626515,47200,-,true,active
0644626519,26000,-,true,active
0644626535,58500,-,true,active
0644626595,45000,-,true,active
0644626915,47900,-,true,active
0644626935,38500,-,true,active
0644629145,,-,true,active
0644629156,,-,true,active
0644629195,57500,-,true,active
0644629356,,-,true,active
0644629359,48500,-,true,active
0644629395,35000,-,true,active
0644629515,45000,-,true,active
0644629535,52000,-,true,active
0644629536,38900,-,true,active
0644629635,38500,-,true,active
0644632365,40000,-,true,active
0644632395,48500,-,true,active
0644632415,45000,-,true,active
0644632451,42000,-,true,active
0644632459,27000,-,true,active
0644632465,40000,-,true,active
0644632495,43900,-,true,active
0644632635,,-,true,active
0644635145,38900,-,true,active
0644635156,25000,-,true,active
0644635365,45000,-,true,active
0644635395,49000,-,true,active
0644635415,39000,-,true,active
0644635451,47000,-,true,active
0644635465,25000,-,true,active
0644635636,32000,-,true,active
0644635645,25000,-,true,active
0644635651,25000,-,true,active
0644635659,45000,-,true,active
0644635695,45000,-,true,active
0644635935,43500,-,true,active
0644635936,38500,-,true,active
0644635956,55000,-,true,active
0644635965,35000,-,true,active
0644636235,35000,-,true,active
0644636265,49500,-,true,active
0644636295,42000,-,true,active
0644636415,27000,-,true,active
0644636459,42000,-,true,active
0644636495,48500,-,true,active
0644636514,25000,-,true,active
0644636535,45000,-,true,active
0644636536,39500,-,true,active
0644636541,22000,-,true,active
0644636545,42000,-,true,active
0644636935,25000,-,true,active
0644636956,45000,-,true,active
0644636959,25000,-,true,active
0644639156,35000,-,true,active
0644639265,24000,-,true,active
0644639351,23000,-,true,active
0644639356,45000,-,true,active
0644639365,25000,-,true,active
0644639459,45000,-,true,active
0644639465,45000,-,true,active
0644639495,45000,-,true,active
0644639535,48000,-,true,active
0644639536,37000,-,true,active
0644639565,55000,-,true,active
0644639635,38500,-,true,active
0644639636,36500,-,true,active
0644639645,38500,-,true,active
0644639656,100000,-,true,active
0645141519,27800,-,true,active
0645141535,,-,true,active
0645141536,,-,true,active
0645141915,99900,-,true,active
0645141935,39500,-,true,active
0645141936,32000,-,true,active
0645141951,169500,-,true,active
0645141956,,-,true,active
0645141965,,-,true,active
0645142395,25000,-,true,active
0645142459,,-,true,active
0645142495,35000,-,true,active
0645142635,,-,true,active
0645142636,,-,true,active
0645142645,,-,true,active
0645142651,109500,-,true,active
0645142659,,-,true,active
0645142695,,-,true,active
0645142895,,-,true,active
0645142915,,-,true,active
0645142935,,-,true,active
0645142936,,-,true,active
0645142945,,-,true,active
0645142951,25000,-,true,active
0645142959,,-,true,active
0645144635,,-,true,active
0645144565,,-,true,active
0645144595,,-,true,active
0645144915,,-,true,active
0645144935,,-,true,active
0645145154,,-,true,active
0645145159,,-,true,active
0645145194,32000,-,true,active
0645145195,,-,true,active
0645145356,,-,true,active
0645145359,,-,true,active
0645145365,,-,true,active
0645145395,,-,true,active
0645145495,35000,-,true,active
0645145519,38000,-,true,active
0645145536,,-,true,active
0645145624,28500,-,true,active
0645145635,,-,true,active
0645145636,,-,true,active
0645145659,,-,true,active
0645145695,47000,-,true,active
0645145915,120000,-,true,active
0645145935,,-,true,active
0645145936,,-,true,active
0645145945,,-,true,active
0645145951,109900,-,true,active
0645145954,33500,-,true,active
0645146245,,-,true,active
0645146359,,-,true,active
0645146519,29000,-,true,active
0645146536,,-,true,active
0645146591,37500,-,true,active
0645146915,,-,true,active
0645146935,,-,true,active
0645149145,,-,true,active
0645149156,,-,true,active
0645149159,,-,true,active
0645149195,42500,-,true,active
0645149245,,-,true,active
0645149356,,-,true,active
0645149359,,-,true,active
0645149395,48500,-,true,active
0645149515,,-,true,active
0645149519,35000,-,true,active
0645149535,,-,true,active
